year,monday,total_moving_time,total_cycling_time,Run_distance,Ride_total_elevation_gain,Run_total_elevation_gain,total_moving_time_cum,total_cycling_time_cum,Run_distance_cum,Ride_total_elevation_gain_cum,Run_total_elevation_gain_cum
2018,04-23-2018,1.1658333333333333,0.0,32.49436100504261,0.0,20.4,1.1658333333333333,0.0,32.49436100504261,0.0,20.4
2018,04-30-2018,1.7408333333333332,0.0,47.5564923807316,0.0,14.1,2.9066666666666663,0.0,80.05085338577422,0.0,34.5
2018,05-07-2018,0.0,0.0,0.0,0.0,0.0,2.9066666666666663,0.0,80.05085338577422,0.0,34.5
2018,05-14-2018,0.0,0.0,0.0,0.0,0.0,2.9066666666666663,0.0,80.05085338577422,0.0,34.5
2018,05-21-2018,0.0,0.0,0.0,0.0,0.0,2.9066666666666663,0.0,80.05085338577422,0.0,34.5
2018,05-28-2018,0.0,0.0,0.0,0.0,0.0,2.9066666666666663,0.0,80.05085338577422,0.0,34.5
2018,06-04-2018,0.0,0.0,0.0,0.0,0.0,2.9066666666666663,0.0,80.05085338577422,0.0,34.5
2018,06-11-2018,0.0,0.0,0.0,0.0,0.0,2.9066666666666663,0.0,80.05085338577422,0.0,34.5
2018,06-18-2018,0.0,0.0,0.0,0.0,0.0,2.9066666666666663,0.0,80.05085338577422,0.0,34.5
2018,06-25-2018,0.0,0.0,0.0,0.0,0.0,2.9066666666666663,0.0,80.05085338577422,0.0,34.5
2018,07-02-2018,0.0,0.0,0.0,0.0,0.0,2.9066666666666663,0.0,80.05085338577422,0.0,34.5
2018,07-09-2018,0.0,0.0,0.0,0.0,0.0,2.9066666666666663,0.0,80.05085338577422,0.0,34.5
2018,07-16-2018,0.5047222222222222,0.0,13.862811917035163,0.0,15.2,3.411388888888889,0.0,93.91366530280938,0.0,49.699999999999996
2018,07-23-2018,5.291388888888889,0.0,135.27336802100487,0.0,89.4,8.702777777777778,0.0,229.18703332381426,0.0,139.1
2018,07-30-2018,5.646944444444444,0.0,142.7734467026084,0.0,81.2,14.349722222222223,0.0,371.9604800264226,0.0,220.3
2018,08-06-2018,2.633333333333333,0.0,49.77634442650439,0.0,31.0,16.983055555555556,0.0,421.736824452927,0.0,251.3
2018,08-13-2018,2.4830555555555556,0.0,36.43603051601856,0.0,25.200000000000003,19.46611111111111,0.0,458.17285496894556,0.0,276.5
2018,08-20-2018,4.706388888888889,0.0,129.44862629524303,0.0,68.1,24.1725,0.0,587.6214812641886,0.0,344.6
2018,08-27-2018,5.231944444444444,0.0,146.6617044001954,0.0,97.8,29.404444444444444,0.0,734.2831856643841,0.0,442.4
2018,09-03-2018,7.955555555555556,2.366388888888889,156.848071116251,115.2,131.8,37.36,2.366388888888889,891.131256780635,115.2,574.2
2018,09-10-2018,5.093611111111111,0.0,26.540982431004323,0.0,10.2,42.45361111111111,2.366388888888889,917.6722392116393,115.2,584.4
2018,09-17-2018,6.125555555555556,0.0,152.81303286278597,0.0,104.1,48.579166666666666,2.366388888888889,1070.4852720744252,115.2,688.5
2018,09-24-2018,5.405277777777778,0.0,153.09721632791653,0.0,163.0,53.98444444444444,2.366388888888889,1223.5824884023418,115.2,851.5
